Variables,Values,Ambient,Diffuse,Offshore,Transition
percent_sgd,0.273901809,0.273901809,NA,NA,NA
percent_sgd,0.281653747,0.281653747,NA,NA,NA
percent_sgd,0.284237726,0.284237726,NA,0.284237726,NA
percent_sgd,0.293281654,0.293281654,NA,NA,NA
percent_sgd,0.302325581,0.302325581,0.302325581,NA,NA
percent_sgd,0.303617571,0.303617571,0.303617571,NA,NA
percent_sgd,0.30749354,0.30749354,NA,NA,NA
percent_sgd,0.30878553,0.30878553,NA,NA,NA
percent_sgd,0.321705426,0.321705426,NA,NA,NA
percent_sgd,0.324289406,0.324289406,NA,NA,NA
percent_sgd,0.339793282,0.339793282,NA,NA,NA
percent_sgd,0.354005168,0.354005168,NA,NA,NA
percent_sgd,0.364341085,0.364341085,NA,NA,NA
percent_sgd,0.366925065,0.366925065,NA,NA,NA
percent_sgd,0.602067183,0.602067183,NA,NA,NA
NN,0.04,NA,0.04,NA,NA
NN,0.22,NA,0.22,NA,0.22
NN,0.23,NA,0.23,NA,0.23
NN,0.24,NA,0.24,NA,0.24
NN,0.28,NA,0.28,NA,0.28
NN,0.29,NA,0.29,NA,NA
NN,0.3,NA,0.3,NA,0.3
NN,0.33,NA,0.33,NA,NA
NN,0.34,NA,0.34,NA,NA
NN,0.35,NA,0.35,NA,0.35
NN,0.36,NA,0.36,NA,NA
NN,0.42,NA,0.42,NA,0.42
NN,0.45,NA,0.45,NA,NA
NN,0.46,NA,0.46,NA,NA
NN,0.57,NA,0.57,NA,NA
NN,0.68,NA,0.68,NA,NA
NN,0.82,NA,0.82,NA,NA
NN,1.01,NA,1.01,NA,NA
NN,1.33,NA,1.33,NA,NA
NN,1.59,NA,1.59,NA,NA
NN,1.91,NA,1.91,NA,NA
NN,2.14,NA,2.14,NA,NA
NN,3.47,NA,3.47,NA,NA
NN,7.39,NA,7.39,NA,NA
NN,7.45,NA,7.45,NA,NA
Phosphate,0.04,NA,0.04,NA,NA
Phosphate,0.05,NA,0.05,NA,NA
Phosphate,0.16,NA,0.16,NA,NA
Phosphate,0.19,NA,0.19,NA,0.19
Phosphate,0.21,NA,0.21,0.21,0.21
Phosphate,0.22,NA,0.22,NA,NA
Phosphate,0.23,NA,0.23,NA,0.23
Phosphate,0.28,NA,0.28,NA,NA
Phosphate,0.29,NA,0.29,NA,NA
Phosphate,0.49,NA,0.49,NA,0.49
Phosphate,0.5,NA,0.5,NA,0.5
Salinity,28.02859405,NA,28.02859405,NA,NA
Salinity,29.12292683,NA,29.12292683,NA,NA
Salinity,32.10970819,NA,32.10970819,NA,NA
Salinity,32.20639623,NA,32.20639623,NA,NA
Salinity,32.3602181,NA,32.3602181,NA,NA
Salinity,32.41032009,NA,32.41032009,NA,NA
Salinity,32.66478542,NA,32.66478542,NA,NA
Salinity,32.71840333,NA,32.71840333,NA,NA
Salinity,33.64045561,NA,33.64045561,NA,NA
Salinity,33.66594609,NA,33.66594609,NA,NA
Salinity,33.91074262,NA,33.91074262,NA,NA
Salinity,34.00567269,NA,34.00567269,NA,NA
Salinity,34.0201759,NA,34.0201759,NA,NA
Salinity,34.2073991,NA,34.2073991,NA,NA
